Age,Gender,Country,Employment_Status
51,Male,Germany,Unemployed
14,Male,Canada,Student
71,Female,UK,Unemployed
60,Male,India,Unemployed
20,Male,India,Unemployed
82,Female,UK,Unemployed
74,Female,Canada,Student
74,Female,Canada,Unemployed
23,Female,Germany,Unemployed
2,Male,Germany,Student
21,Male,USA,Retired
52,Male,India,Employed
1,Female,Germany,Retired
29,Female,Canada,Student
37,Female,UK,Employed
1,Female,Canada,Student
63,Male,India,Student
59,Female,Canada,Unemployed
20,Male,USA,Employed
32,Female,India,Unemployed
75,Male,UK,Employed
57,Female,USA,Student
21,Male,India,Student
48,Male,UK,Retired
58,Male,USA,Employed
41,Female,USA,Unemployed
59,Female,India,Retired
79,Male,Germany,Retired
14,Male,USA,Retired
61,Female,USA,Unemployed
61,Male,UK,Retired
46,Female,Canada,Unemployed
61,Female,India,Retired
50,Male,India,Unemployed
54,Male,Germany,Student
63,Non-Binary,Germany,Student
2,Male,India,Student
50,Male,Germany,Student
6,Female,UK,Student
20,Female,India,Retired
72,Non-Binary,Germany,Retired
38,Female,India,Retired
17,Male,Canada,Unemployed
3,Male,USA,Unemployed
59,Female,India,Unemployed
13,Female,USA,Unemployed
8,Male,Germany,Student
52,Female,USA,Student
1,Male,India,Student
83,Female,Canada,Employed
59,Male,Germany,Retired
70,Male,India,Unemployed
43,Male,Germany,Unemployed
7,Male,UK,Student
46,Male,USA,Unemployed
34,Female,UK,Unemployed
77,Female,India,Retired
80,Female,Canada,Student
35,Non-Binary,Germany,Retired
49,Male,USA,Employed
3,Male,Germany,Employed
1,Female,India,Employed
5,Male,Germany,Student
53,Non-Binary,USA,Unemployed
3,Male,India,Student
53,Non-Binary,Germany,Student
62,Male,Canada,Unemployed
17,Female,India,Retired
43,Female,India,Employed
33,Non-Binary,Canada,Retired
73,Male,UK,Employed
61,Female,USA,Student
13,Non-Binary,UK,Employed
47,Female,Germany,Student
14,Female,Canada,Retired
71,Female,UK,Student
77,Male,India,Retired
61,Female,Germany,Unemployed
39,Female,Germany,Unemployed
84,Female,UK,Unemployed
79,Male,UK,Student
81,Male,Canada,Unemployed
52,Female,USA,Employed
23,Female,UK,Retired
25,Male,UK,Retired
59,Female,India,Employed
40,Male,Germany,Student
28,Male,USA,Student
14,Male,India,Retired
44,Male,Canada,Unemployed
64,Female,Canada,Student
70,Male,UK,Student
8,Non-Binary,UK,Employed
0,Non-Binary,Canada,Employed
7,Female,UK,Unemployed
62,Female,USA,Student
10,Male,UK,Student
80,Female,Germany,Employed
7,Female,UK,Student
34,Male,India,Retired
34,Female,USA,Employed
32,Female,India,Unemployed
4,Female,India,Employed
40,Female,Germany,Student
27,Female,USA,Unemployed
6,Male,USA,Employed
72,Female,USA,Retired
71,Female,USA,Retired
11,Male,USA,Employed
33,Male,Germany,Retired
32,Male,UK,Retired
47,Female,India,Retired
22,Non-Binary,USA,Unemployed
61,Male,UK,Retired
36,Female,UK,Retired
43,Male,India,Retired
34,Non-Binary,Germany,Unemployed
64,Female,Canada,Employed
46,Female,Canada,Student
77,Male,UK,Retired
2,Male,India,Employed
0,Male,Canada,Retired
4,Male,UK,Unemployed
13,Female,Germany,Employed
26,Female,Canada,Unemployed
8,Non-Binary,UK,Retired
78,Non-Binary,UK,Retired
14,Female,USA,Unemployed
41,Female,Germany,Student
76,Female,USA,Unemployed
50,Female,India,Retired
62,Male,USA,Unemployed
51,Male,USA,Student
3,Male,Canada,Unemployed
22,Female,UK,Student
14,Female,Germany,Student
42,Male,USA,Unemployed
28,Female,Germany,Unemployed
35,Female,USA,Employed
12,Male,India,Retired
31,Male,USA,Student
70,Female,Canada,Employed
58,Female,UK,Unemployed
27,Female,India,Retired
65,Female,USA,Employed
41,Female,Germany,Student
44,Female,India,Employed
61,Female,India,Student
56,Female,USA,Unemployed
5,Male,India,Retired
27,Male,Germany,Retired
27,Male,India,Retired
43,Female,Germany,Unemployed
83,Female,USA,Student
29,Female,UK,Unemployed
61,Male,India,Retired
74,Male,UK,Unemployed
61,Male,Germany,Unemployed
0,Male,India,Unemployed
26,Female,Canada,Student
61,Male,UK,Employed
76,Male,India,Employed
2,Female,UK,Unemployed
69,Male,India,Employed
71,Female,USA,Employed
26,Female,UK,Unemployed
8,Male,Canada,Unemployed
61,Female,Canada,Retired
36,Female,Germany,Employed
50,Female,India,Student
43,Male,UK,Unemployed
23,Female,Germany,Retired
78,Female,UK,Student
58,Male,India,Employed
31,Male,Canada,Retired
51,Non-Binary,USA,Unemployed
61,Female,Canada,Student
57,Male,Germany,Unemployed
51,Female,USA,Employed
11,Male,Germany,Student
38,Male,India,Employed
1,Male,USA,Employed
2,Male,Germany,Retired
55,Male,India,Unemployed
80,Male,Canada,Student
58,Female,India,Employed
1,Male,UK,Employed
1,Male,India,Student
53,Female,India,Employed
0,Male,UK,Retired
18,Female,Germany,Retired
1,Male,Germany,Retired
52,Male,India,Retired
43,Male,UK,Employed
31,Male,UK,Student
69,Male,Canada,Student
31,Male,Germany,Student
67,Male,USA,Student
54,Male,Germany,Unemployed
74,Male,Germany,Student
55,Male,Canada,Unemployed
16,Male,USA,Unemployed
37,Female,Canada,Retired
23,Female,USA,Unemployed
68,Male,India,Employed
69,Female,USA,Unemployed
10,Female,Canada,Retired
15,Male,Germany,Unemployed
72,Female,USA,Employed
58,Female,USA,Employed
69,Male,UK,Employed
79,Male,Germany,Retired
2,Female,India,Retired
19,Female,Canada,Student
58,Male,India,Retired
35,Male,Germany,Employed
18,Male,USA,Employed
66,Female,USA,Retired
18,Female,Germany,Unemployed
19,Male,USA,Retired
70,Male,USA,Retired
51,Female,USA,Employed
32,Male,Canada,Student
39,Male,Canada,Employed
38,Female,UK,Student
81,Female,India,Employed
0,Female,Germany,Retired
10,Female,Germany,Employed
56,Male,Germany,Employed
49,Male,UK,Employed
22,Female,Canada,Retired
30,Male,UK,Retired
41,Male,Germany,Retired
6,Male,India,Retired
15,Male,USA,Student
59,Male,Canada,Student
1,Male,Canada,Unemployed
0,Male,UK,Retired
47,Male,Canada,Student
11,Female,Germany,Employed
68,Female,Germany,Retired
36,Female,UK,Unemployed
31,Female,Germany,Unemployed
8,Female,India,Unemployed
18,Male,UK,Employed
47,Female,India,Student
79,Female,USA,Employed
2,Female,India,Retired
19,Male,USA,Unemployed
23,Male,USA,Employed
53,Male,India,Employed
32,Male,UK,Student
23,Female,Germany,Student
74,Female,Germany,Unemployed
71,Male,USA,Employed
35,Non-Binary,USA,Employed
37,Female,UK,Student
83,Male,Canada,Employed
24,Male,India,Employed
17,Male,USA,Employed
81,Male,Germany,Student
65,Male,UK,Unemployed
53,Male,India,Retired
34,Male,UK,Unemployed
79,Male,India,Retired
60,Female,India,Employed
40,Male,USA,Unemployed
32,Female,UK,Retired
67,Male,UK,Student
32,Non-Binary,Germany,Student
13,Male,Germany,Unemployed
20,Male,USA,Unemployed
47,Non-Binary,USA,Employed
19,Female,Canada,Unemployed
7,Female,Germany,Employed
6,Male,India,Employed
66,Male,UK,Student
16,Female,USA,Student
32,Female,UK,Retired
47,Female,UK,Student
75,Female,Canada,Student
58,Male,Germany,Unemployed
21,Female,USA,Student
29,Male,UK,Retired
37,Male,USA,Unemployed
50,Male,India,Retired
53,Female,Canada,Student
7,Male,India,Retired
26,Male,USA,Unemployed
26,Female,USA,Employed
20,Male,Germany,Retired
29,Female,UK,Retired
27,Male,UK,Unemployed
63,Female,India,Unemployed
68,Female,Canada,Retired
60,Male,UK,Student
47,Male,Germany,Retired
18,Male,India,Unemployed
3,Male,India,Employed
34,Non-Binary,Germany,Employed
63,Male,Canada,Student
48,Female,Germany,Retired
16,Male,Canada,Employed
43,Female,Germany,Retired
29,Female,Germany,Unemployed
45,Female,USA,Employed
5,Male,India,Student
36,Male,Germany,Unemployed
23,Male,Germany,Student
45,Female,UK,Unemployed
52,Female,India,Employed
59,Non-Binary,UK,Student
62,Male,India,Student
84,Female,UK,Unemployed
31,Female,Germany,Student
32,Male,Germany,Unemployed
66,Male,USA,Unemployed
17,Female,UK,Unemployed
24,Female,Canada,Unemployed
53,Female,USA,Employed
57,Male,UK,Unemployed
66,Female,UK,Retired
45,Male,USA,Student
23,Male,Germany,Retired
31,Male,UK,Employed
46,Female,Germany,Retired
22,Female,USA,Student
65,Female,Germany,Retired
26,Male,India,Employed
1,Female,Canada,Unemployed
16,Male,UK,Retired
32,Female,Canada,Employed
8,Male,Germany,Employed
42,Male,UK,Student
47,Male,Germany,Student
38,Male,India,Retired
41,Female,USA,Unemployed
25,Female,UK,Employed
49,Male,India,Retired
24,Female,India,Employed
23,Male,UK,Employed
12,Female,Germany,Unemployed
59,Female,India,Unemployed
6,Female,Canada,Retired
56,Male,India,Unemployed
35,Female,Germany,Unemployed
44,Female,Germany,Retired
19,Male,Canada,Unemployed
64,Male,India,Student
7,Female,Germany,Employed
15,Female,UK,Employed
13,Female,USA,Employed
75,Female,USA,Employed
14,Female,USA,Retired
65,Male,India,Employed
31,Male,Canada,Employed
62,Male,Germany,Employed
50,Female,UK,Employed
24,Male,UK,Student
57,Female,India,Employed
62,Female,USA,Student
61,Female,India,Retired
21,Male,Canada,Unemployed
57,Female,Canada,Employed
57,Male,Germany,Unemployed
48,Female,Germany,Unemployed
51,Male,Canada,Retired
41,Male,Canada,Unemployed
69,Female,Canada,Student
14,Male,India,Unemployed
53,Male,Canada,Unemployed
59,Female,UK,Unemployed
7,Female,USA,Employed
52,Female,Canada,Employed
59,Female,USA,Student
4,Female,India,Student
67,Male,USA,Employed
5,Male,India,Student
46,Male,UK,Employed
54,Female,India,Retired
39,Female,India,Unemployed
51,Male,Germany,Unemployed
15,Male,Canada,Student
12,Female,Canada,Employed
29,Male,UK,Employed
18,Female,UK,Student
16,Female,Canada,Employed
62,Female,Germany,Retired
18,Male,Canada,Unemployed
57,Female,Germany,Student
54,Female,UK,Student
61,Female,USA,Employed
22,Female,UK,Student
8,Female,UK,Retired
11,Female,India,Employed
0,Male,India,Employed
57,Female,India,Employed
0,Female,India,Employed
33,Male,Germany,Retired
47,Female,Canada,Employed
0,Female,USA,Student
15,Female,UK,Retired
60,Male,Germany,Unemployed
63,Male,USA,Unemployed
62,Non-Binary,Germany,Student
68,Female,Germany,Student
21,Male,UK,Retired
66,Female,Canada,Unemployed
75,Female,India,Unemployed
25,Female,Canada,Unemployed
15,Female,UK,Unemployed
50,Male,UK,Unemployed
56,Male,UK,Employed
28,Male,USA,Student
77,Female,Canada,Employed
68,Male,Canada,Unemployed
46,Male,Germany,Retired
61,Male,Germany,Retired
68,Female,Germany,Unemployed
75,Female,UK,Unemployed
15,Male,Canada,Retired
47,Male,UK,Employed
84,Female,USA,Employed
38,Male,Germany,Unemployed
32,Male,UK,Employed
22,Male,UK,Retired
9,Male,USA,Employed
68,Male,India,Unemployed
33,Female,Canada,Retired
51,Male,India,Employed
9,Female,Germany,Student
18,Male,UK,Retired
57,Female,USA,Retired
0,Female,USA,Student
68,Male,Canada,Student
3,Female,India,Retired
15,Male,Canada,Student
23,Non-Binary,UK,Unemployed
79,Male,Canada,Unemployed
1,Male,USA,Unemployed
31,Male,USA,Retired
83,Non-Binary,Germany,Student
23,Female,Germany,Student
11,Female,UK,Employed
49,Male,India,Employed
34,Female,Canada,Student
32,Male,UK,Student
32,Female,Germany,Student
60,Male,Canada,Retired
50,Male,Germany,Student
42,Male,Canada,Employed
11,Male,India,Retired
66,Female,UK,Student
64,Male,Canada,Employed
32,Female,USA,Retired
39,Male,USA,Student
73,Female,Canada,Student
42,Male,Canada,Student
43,Male,Canada,Retired
28,Female,USA,Employed
12,Male,USA,Employed
11,Male,Canada,Unemployed
45,Female,Germany,Student
1,Female,Germany,Unemployed
34,Male,India,Unemployed
80,Male,UK,Employed
7,Female,Germany,Retired
25,Male,USA,Retired
73,Male,Germany,Employed
33,Male,India,Retired
6,Female,India,Unemployed
67,Female,UK,Student
57,Male,Germany,Employed
74,Male,USA,Student
28,Male,USA,Retired
35,Female,Canada,Student
20,Male,USA,Retired
35,Male,UK,Retired
9,Female,UK,Unemployed
72,Male,USA,Retired
23,Female,USA,Unemployed
63,Male,Canada,Unemployed
48,Male,USA,Unemployed
35,Male,Canada,Employed
81,Female,Canada,Employed
23,Female,USA,Retired
22,Female,India,Unemployed
61,Male,India,Employed
36,Female,Canada,Unemployed
11,Male,USA,Student
54,Male,India,Student
12,Female,USA,Student
22,Male,USA,Retired
29,Male,USA,Unemployed
16,Male,Germany,Student
61,Male,USA,Employed
83,Male,Germany,Student
12,Female,Canada,Student
58,Male,India,Student
18,Female,India,Retired
